"Fact nr","Credit nota nr","Client-Auto-ID","Accountnaam","Factuurstraat","Factuurpostcode","Factuurplaats","Factuurland","BTW","Factuur datum","Vervaldag","Uw ref.","Offerteregelitem: totaalprijs","Verzending en afhandeling","Payment Terms","6% BTW.","21% BTW"
"172140","","4270","Zorgbedrijf Antwerpen","T.a.v. Crediteurenbeheer
Ballaarstraat 35","2018","Antwerpen","Belgium","BE0809699184","2/08/2017","17/08/2017","ZB00512 - De Schakel","17,40","0,00","15","23,80",""
"172140","","4270","Zorgbedrijf Antwerpen","T.a.v. Crediteurenbeheer
Ballaarstraat 35","2018","Antwerpen","Belgium","BE0809699184","2/08/2017","17/08/2017","ZB00512 - De Schakel","140,40","0,00","15","23,80",""
"172140","","4270","Zorgbedrijf Antwerpen","T.a.v. Crediteurenbeheer
Ballaarstraat 35","2018","Antwerpen","Belgium","BE0809699184","2/08/2017","17/08/2017","ZB00512 - De Schakel","238,80","0,00","15","23,80",""
"172141","","0629","De Rijcker GO","Xavier de Cocklaan 82","9830","Sint-Martens-Latem","Belgium","BE0885672851","2/08/2017","17/08/2017","best 13/07","191,40","0,00","15","11,48",""
"172142","","0448","Thuiszorgwinkel hq Midden Vlaanderen CVBA","Industriepark 1","9052","Zwijnaarde","Belgium","BE0536323985","2/08/2017","17/08/2017","115905-TZW Zwijnaarde","53,90","0,00","15","3,23",""
"172143","","1001","Leunen Orthopedie","Bisschoppenhoflaan 585","2100","Deurne","Belgium","BE0414492876","2/08/2017","17/08/2017","21701702-21701701","382,80","0,00","15","45,94",""
"172143","","1001","Leunen Orthopedie","Bisschoppenhoflaan 585","2100","Deurne","Belgium","BE0414492876","2/08/2017","17/08/2017","21701702-21701701","382,80","0,00","15","45,94",""
"172144","","3657","Thuiszorgwinkel hq Scherpenheuvel","Mannenberg 257","3272","Scherpenheuvel","Belgium","BE0462158775","2/08/2017","17/08/2017","best 26/07","194,59","0,00","15","11,68",""
"172145","","3657","Thuiszorgwinkel hq Scherpenheuvel","Mannenberg 257","3272","Scherpenheuvel","Belgium","BE0462158775","2/08/2017","17/08/2017","best 26/07-zuurstoffleshouder","53,90","0,00","15","3,23",""
"172146","","6395","Ortho Consult Ronse bvba","Ovide Decrolylaan 31","9600","Ronse","Belgium","BE0842539228","2/08/2017","17/08/2017","best 26/07 - Van der Meeren Nicole","191,40","0,00","15","11,48",""
"172147","","3223","Partena Gezondheidshop Gent","Sluisweg 2 bus 4","9000","Gent","Belgium","BE877578301","2/08/2017","17/08/2017","924-Jemelle","204,44","0,00","15","40,60",""
"172147","","3223","Partena Gezondheidshop Gent","Sluisweg 2 bus 4","9000","Gent","Belgium","BE877578301","2/08/2017","17/08/2017","924-Jemelle","191,40","0,00","15","40,60",""
"172147","","3223","Partena Gezondheidshop Gent","Sluisweg 2 bus 4","9000","Gent","Belgium","BE877578301","2/08/2017","17/08/2017","924-Jemelle","280,80","0,00","15","40,60",""
"172148","","0182","Aqtor NV - TOB","Herman Teirlinckstraat 15","9041","Oostakker","Belgium","BE0426419720","2/08/2017","1/10/2017","BL22298","280,80","0,00","60","16,85",""
"172149","","0448","Thuiszorgwinkel hq Midden Vlaanderen CVBA","Industriepark 1","9052","Zwijnaarde","Belgium","BE0536323985","2/08/2017","17/08/2017","116020-TZW Zwijnaarde","306,67","0,00","15","18,40",""
"172150","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","2/08/2017","17/08/2017","4500524139","972,95","0,00","15","70,03",""
"172150","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","2/08/2017","17/08/2017","4500524139","107,25","0,00","15","70,03",""
"172150","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","2/08/2017","17/08/2017","4500524139","87,00","0,00","15","70,03",""
"172151","","0527","Protos-Medica","Rue d'Hérinnes 5","7850","Enghien","Belgium","BE0463328616","2/08/2017","17/08/2017","cde 28/07","204,44","0,00","15","30,91",""
"172151","","0527","Protos-Medica","Rue d'Hérinnes 5","7850","Enghien","Belgium","BE0463328616","2/08/2017","17/08/2017","cde 28/07","119,40","0,00","15","30,91",""
"172151","","0527","Protos-Medica","Rue d'Hérinnes 5","7850","Enghien","Belgium","BE0463328616","2/08/2017","17/08/2017","cde 28/07","191,40","0,00","15","30,91",""
"172152","","2048","Orthopedie Mestag","Parvis Sainte-Alix 25","1150","Woluwe Saint Pierre","Belgium","BE0843124889","2/08/2017","17/08/2017","cde 28/07","191,40","0,00","15","22,97",""
"172152","","2048","Orthopedie Mestag","Parvis Sainte-Alix 25","1150","Woluwe Saint Pierre","Belgium","BE0843124889","2/08/2017","17/08/2017","cde 28/07","191,40","0,00","15","22,97",""
"172153","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","2/08/2017","17/08/2017","cde 26/07 - ARAC Jambes","191,40","0,00","15","17,62",""
"172153","","1067","Toussaint hq - Fleurus","Rue de Montigny 23","6000","Charleroi","Belgium","BE0416731202","2/08/2017","17/08/2017","cde 26/07 - ARAC Jambes","102,22","0,00","15","17,62",""
"172154","","1089","Ergo Home Consult","Rue de l'Artisanat 5","1400","Nivelles","Belgium","BE0474479656","2/08/2017","17/08/2017","4994","382,80","0,00","15","22,97",""
"172155","","0527","Protos-Medica","Rue d'Hérinnes 5","7850","Enghien","Belgium","BE0463328616","2/08/2017","17/08/2017","cde 31/07","382,80","0,00","15","22,97",""
"172156","","0488","Qualias hq Angleur Lambert","Route du Condroz 475","4031","Angleur","Belgium","BE0417114351","2/08/2017","17/08/2017","BC170816","17,40","0,00","15","18,95",""
"172156","","0488","Qualias hq Angleur Lambert","Route du Condroz 475","4031","Angleur","Belgium","BE0417114351","2/08/2017","17/08/2017","BC170816","102,22","0,00","15","18,95",""
"172156","","0488","Qualias hq Angleur Lambert","Route du Condroz 475","4031","Angleur","Belgium","BE0417114351","2/08/2017","17/08/2017","BC170816","17,40","0,00","15","18,95",""
"172156","","0488","Qualias hq Angleur Lambert","Route du Condroz 475","4031","Angleur","Belgium","BE0417114351","2/08/2017","17/08/2017","BC170816","178,80","0,00","15","18,95",""
"172157","","5362","LCM Belfort hq Mulhouse","129 Rue de Belfort","68200","Mulhouse","France","FR48499654093","2/08/2017","17/08/2017","cde 27/07","17,40","10,00","15","0,00",""
"172157","","5362","LCM Belfort hq Mulhouse","129 Rue de Belfort","68200","Mulhouse","France","FR48499654093","2/08/2017","17/08/2017","cde 27/07","178,80","10,00","15","0,00",""
"172157","","5362","LCM Belfort hq Mulhouse","129 Rue de Belfort","68200","Mulhouse","France","FR48499654093","2/08/2017","17/08/2017","cde 27/07","35,40","10,00","15","0,00",""
"172158","","2933","Atout Plus Sante","8 Rue Paul Vaillant Couturier","91200","Athis-Mons","France","FR36479017436","2/08/2017","17/08/2017","20170041","181,83","10,00","15","0,00",""
"172159","","5654","Aide a l'autonomie","25 route de Pontoise","95100","ARGENTEUIL","France","FR40510097660","2/08/2017","17/08/2017","20170539","126,90","0,00","15","0,00",""
"172159","","5654","Aide a l'autonomie","25 route de Pontoise","95100","ARGENTEUIL","France","FR40510097660","2/08/2017","17/08/2017","20170539","69,50","0,00","15","0,00",""
"172159","","5654","Aide a l'autonomie","25 route de Pontoise","95100","ARGENTEUIL","France","FR40510097660","2/08/2017","17/08/2017","20170539","92,50","0,00","15","0,00",""
"172160","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","2/08/2017","1/10/2017","4500778857-Gallargues","162,56","0,00","60","0,00",""
"172160","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","2/08/2017","1/10/2017","4500778857-Gallargues","15,82","0,00","60","0,00",""
"172160","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","2/08/2017","1/10/2017","4500778857-Gallargues","139,00","0,00","60","0,00",""
"172161","","5401","Medical Progress - La Vitrine Medicale","5 Rue du Paquis des Boulets","08000","Charleville-Mezieres","France","FR78438440992","2/08/2017","17/08/2017","16424","53,90","10,00","15","0,00",""
"172162","","1598","Medicalie - Albatros","D813 - ZI de Maury","47130","Port Sainte Marie","France","FR76801828567","2/08/2017","17/08/2017","cde 26/07","113,40","10,00","15","0,00",""
"172163","","5838","Orthoservice BVBA","Molenstraat 56 bus 2","2220","Heist op den berg","Belgium","BE0672533464","2/08/2017","17/08/2017","best 28/07","128,70","0,00","15","20,25",""
"172163","","5838","Orthoservice BVBA","Molenstraat 56 bus 2","2220","Heist op den berg","Belgium","BE0672533464","2/08/2017","17/08/2017","best 28/07","191,40","0,00","15","20,25",""
"172163","","5838","Orthoservice BVBA","Molenstraat 56 bus 2","2220","Heist op den berg","Belgium","BE0672533464","2/08/2017","17/08/2017","best 28/07","17,40","0,00","15","20,25",""
"172164","","6488","Hego-Mobile","Steenweg 140","3621","Rekem-Lanaken","Belgium","BE0646828860","2/08/2017","17/08/2017","best 28/07","191,40","0,00","15","11,48",""
"172165","","0557","Orthoshop Willebroek Vaartland - OTV","Overwinningsstraat 133-135","2830","Willebroek","Belgium","BE0808565868","2/08/2017","17/08/2017","2752","191,40","0,00","15","19,91",""
"172165","","0557","Orthoshop Willebroek Vaartland - OTV","Overwinningsstraat 133-135","2830","Willebroek","Belgium","BE0808565868","2/08/2017","17/08/2017","2752","140,40","0,00","15","19,91",""
"172166","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","2/08/2017","17/08/2017","best 28/07 - TZW Lokeren","102,22","0,00","15","6,13",""
"172167","","0448","Thuiszorgwinkel hq Midden Vlaanderen CVBA","Industriepark 1","9052","Zwijnaarde","Belgium","BE0536323985","2/08/2017","17/08/2017","116039","358,20","0,00","15","21,49",""
"172168","","0012","Vigo NV hq","Biezeweg 13","9230","Wetteren","Belgium","BE0444471717","2/08/2017","1/10/2017","4500629064","280,80","0,00","60","16,85",""
"172169","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","2/08/2017","17/08/2017","4500524297","972,95","0,00","15","63,94",""
"172169","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","2/08/2017","17/08/2017","4500524297","88,45","0,00","15","63,94",""
"172169","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","2/08/2017","17/08/2017","4500524297","4,20","0,00","15","63,94",""
"172170","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","1245231-Bakker","226,86","0,00","15","0,00",""
"172170","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","1245231-Bakker","10,00","0,00","15","0,00",""
"172171","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","1245243-Plomp","10,00","0,00","15","0,00",""
"172171","","3040","De Verkoopfabriek - uwRollator.nl","Veemarktkade 8","5222AE","?s-Hertogenbosch","Netherlands","NL850142283B01","2/08/2017","17/08/2017","1245243-Plomp","669,90","0,00","15","0,00",""
"172172","","7369","Autobedrijf Boca","Grote Baan 307","9250","Waasmunster","Belgium","BE0897685312","3/08/2017","2/09/2017","verkoop Amarok VW","9800,00","0,00","30","588,00","2058,00"
"172173","","6311","Medical du Rhin","2 rue du Retting","67410","Rorhwiller","France","FR31479803975","4/08/2017","19/08/2017","réparation Rollz Flex - M.Blondel","55,00","0,00","15","0,00",""
"172174","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","4/08/2017","3/10/2017","4500779084-Gallargues","3480,29","0,00","60","0,00",""
"172175","","1825","Bastide hq","12, Avenue de la Dame","30132","Caissargues","France","FR19305635039","4/08/2017","3/10/2017","4500779708-Angers","15,82","10,00","60","0,00",""
"172176","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","4/08/2017","19/08/2017","4500522955 eerste deel","1287,00","0,00","15","77,22",""
"172177","","0484","Ortheis hq - Braine L'Alleud","Chaussée de Namur 43","1457","Walhin","Belgium","BE0893119481","4/08/2017","19/08/2017","935","191,40","0,00","15","43,99",""
"172177","","0484","Ortheis hq - Braine L'Alleud","Chaussée de Namur 43","1457","Walhin","Belgium","BE0893119481","4/08/2017","19/08/2017","935","17,40","0,00","15","43,99",""
"172177","","0484","Ortheis hq - Braine L'Alleud","Chaussée de Namur 43","1457","Walhin","Belgium","BE0893119481","4/08/2017","19/08/2017","935","524,30","0,00","15","43,99",""
"172178","","0510","Bloumedical","13 Chaussée de Namur","5070","Fosse-La-Ville","Belgium","BE0897940183","4/08/2017","19/08/2017","cde 26/07","524,30","0,00","15","31,46",""
"172179","","3001","Gestec Orthopedie hq - Namur","Rue Lucien Namêche, 9","5000","Namur","Belgium","BE0825978457","4/08/2017","19/08/2017","cde 26/07","258,70","0,00","15","15,52",""
"172180","","6940","Loire Layon Medical","12 rue Nationale","49290","Chalonnes sur loire","France","FR67244900833","4/08/2017","3/09/2017","commande du 20/7 - M. Le Poder","551,85","20,00","30","0,00",""
"172180","","6940","Loire Layon Medical","12 rue Nationale","49290","Chalonnes sur loire","France","FR67244900833","4/08/2017","3/09/2017","commande du 20/7 - M. Le Poder","258,70","20,00","30","0,00",""
"172181","","5038","Bastide Annecy","Savoie Confort Médical
28 Av de la Republique","74960","Cran - Gevrier","France","FR61507835627","4/08/2017","19/08/2017","5589","15,82","20,00","15","0,00",""
"172181","","5038","Bastide Annecy","Savoie Confort Médical
28 Av de la Republique","74960","Cran - Gevrier","France","FR61507835627","4/08/2017","19/08/2017","5589","507,02","20,00","15","0,00",""
"172182","","2515","Harmonie Medical Service hq","2 avenue des hauts de la chaume","86280","Saint Benoit","France","FR30403324163","4/08/2017","19/08/2017","0200477009-Montgermont","551,85","10,00","15","0,00",""
"172183","","7372","Pierre Rappe","Residentie Versailles
Kortrijksesteenweg 981","9000","Gent","Belgium","Particulier","7/08/2017","6/09/2017","36487-Rollatoronline-Rappe","375,47","4,67","30","22,81",""
"172184","","0448","Thuiszorgwinkel hq Midden Vlaanderen CVBA","Industriepark 1","9052","Zwijnaarde","Belgium","BE0536323985","7/08/2017","22/08/2017","TZW MVL-Buttler-demo reeds geleverd  en verkocht","258,70","0,00","15","15,52",""
"172185","","2847","Hulpmedi","Amperestraat 7","8091 XX","Wezep","Netherlands","NL192850222B01","7/08/2017","22/08/2017","bestelling Dennis 02/08/17","40,00","0,00","15","0,00",""
"172186","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","7/08/2017","22/08/2017","cde 28/07","-160,01","0,00","15","0,00",""
"172186","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","7/08/2017","22/08/2017","cde 28/07","551,85","0,00","15","0,00",""
"172186","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","7/08/2017","22/08/2017","cde 28/07","258,70","0,00","15","0,00",""
"172186","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","7/08/2017","22/08/2017","cde 28/07","226,80","0,00","15","0,00",""
"172186","","2935","NB Medical HQ - Abbeville","1 Rue Paul Vimereu","80100","Abbeville","France","FR16399204536","7/08/2017","22/08/2017","cde 28/07","29,40","0,00","15","0,00",""
"172187","","6574","Dyna Medical","Avenue Robert Schuman 10","1400","Nivelles","Belgium","B04455935038","7/08/2017","22/08/2017","cde 02/08","119,40","0,00","15","7,16",""
"172188","","1005","Medicura","H. Consciencestraat 20","8500","Kortrijk","Belgium","BE0405354189","7/08/2017","22/08/2017","cde 01/08-Seynaeve","102,22","0,00","15","6,13",""
"172189","","6409","Nestor Nestor - BR Service","Galibier SPRL
Avenue Armand Huysmanslaan 237","1050","Bruxelles","Belgium","BE0848369621","7/08/2017","22/08/2017","cde 01/08","102,22","0,00","15","6,13",""
"172190","","0002","Thuiszorgwinkel hq West Vlaanderen NV","Brugsesteenweg 371","8800","Roeselare","Belgium","BE0860548465","7/08/2017","22/08/2017","205250","194,59","0,00","15","11,68",""
"172191","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","7/08/2017","22/08/2017","4500524549","613,33","0,00","15","36,80",""
"172192","","3525","Decover","Stationstraat 135","8790","Waregem","Belgium","BE0422429060","7/08/2017","22/08/2017","best 02/08","140,40","0,00","15","8,42",""
"172193","","2272","Medicotheek De Voorzorg hq Limburg CVBA","Guffenslaan 22","3500","Hasselt","Belgium","BE0543386971","7/08/2017","22/08/2017","best 02/08","306,67","0,00","15","21,63",""
"172193","","2272","Medicotheek De Voorzorg hq Limburg CVBA","Guffenslaan 22","3500","Hasselt","Belgium","BE0543386971","7/08/2017","22/08/2017","best 02/08","53,90","0,00","15","21,63",""
"172194","","1943","DLN Mobiliteit - hq - Eindhout","Kerkhofweg 36","2430","Eindhout","Belgium","BE0562775192","7/08/2017","22/08/2017","best 01/08","69,60","0,00","15","12,53",""
"172194","","1943","DLN Mobiliteit - hq - Eindhout","Kerkhofweg 36","2430","Eindhout","Belgium","BE0562775192","7/08/2017","22/08/2017","best 01/08","34,80","0,00","15","12,53",""
"172194","","1943","DLN Mobiliteit - hq - Eindhout","Kerkhofweg 36","2430","Eindhout","Belgium","BE0562775192","7/08/2017","22/08/2017","best 01/08","69,60","0,00","15","12,53",""
"172194","","1943","DLN Mobiliteit - hq - Eindhout","Kerkhofweg 36","2430","Eindhout","Belgium","BE0562775192","7/08/2017","22/08/2017","best 01/08","34,80","0,00","15","12,53",""
"172195","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","7/08/2017","22/08/2017","best 01/08-TZW Sint Niklaas","285,48","0,00","15","17,13",""
"172196","","0624","OZ Shop Wilrijk HQ","Monseigneur Van Waeyenberghlaan 36","3000","Leuven","Belgium","BE0420367316","7/08/2017","22/08/2017","099-LEBE-1665/3209","2871,00","0,00","15","172,26",""
"172197","","2751","Medily - Seniorenwereld - Ravenstaete","Industrieweg-zuid 22-1","3958 VX","Amerongen","Netherlands","NL807294433B01","7/08/2017","22/08/2017","best 02/08","181,83","0,00","15","0,00",""
"172197","","2751","Medily - Seniorenwereld - Ravenstaete","Industrieweg-zuid 22-1","3958 VX","Amerongen","Netherlands","NL807294433B01","7/08/2017","22/08/2017","best 02/08","226,86","0,00","15","0,00",""
"172197","","2751","Medily - Seniorenwereld - Ravenstaete","Industrieweg-zuid 22-1","3958 VX","Amerongen","Netherlands","NL807294433B01","7/08/2017","22/08/2017","best 02/08","181,83","0,00","15","0,00",""
"172198","","2687","Kaphingst Online GmbH","Niederwettersche Straße 1","35094","Lahntal","Germany","DE814218512","7/08/2017","22/08/2017","70044172-148324-Besselink","98,28","3,00","15","0,00",""
"172199","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","7/08/2017","22/08/2017","best 01/08-TZW Trunhout - Dirk","69,30","0,00","15","35,62",""
"172199","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","7/08/2017","22/08/2017","best 01/08-TZW Trunhout - Dirk","524,30","0,00","15","35,62",""
"172200","","1079","Gmedi - hq - Pharmacies Populaires","Rue de Pepinster, 55","4800","Verviers","Belgium","BE0402307894","7/08/2017","22/08/2017","BC2813","187,41","0,00","15","86,43",""
"172200","","1079","Gmedi - hq - Pharmacies Populaires","Rue de Pepinster, 55","4800","Verviers","Belgium","BE0402307894","7/08/2017","22/08/2017","BC2813","175,45","0,00","15","86,43",""
"172200","","1079","Gmedi - hq - Pharmacies Populaires","Rue de Pepinster, 55","4800","Verviers","Belgium","BE0402307894","7/08/2017","22/08/2017","BC2813","175,45","0,00","15","86,43",""
"172200","","1079","Gmedi - hq - Pharmacies Populaires","Rue de Pepinster, 55","4800","Verviers","Belgium","BE0402307894","7/08/2017","22/08/2017","BC2813","643,50","0,00","15","86,43",""
"172200","","1079","Gmedi - hq - Pharmacies Populaires","Rue de Pepinster, 55","4800","Verviers","Belgium","BE0402307894","7/08/2017","22/08/2017","BC2813","258,70","0,00","15","86,43",""
"172201","","1079","Gmedi - hq - Pharmacies Populaires","Rue de Pepinster, 55","4800","Verviers","Belgium","BE0402307894","7/08/2017","22/08/2017","BC2851","524,30","0,00","15","31,46",""
"172202","","5654","Aide a l'autonomie","25 route de Pontoise","95100","ARGENTEUIL","France","FR40510097660","7/08/2017","22/08/2017","20170565-faraks","462,50","0,00","15","0,00",""
"172203","","6098","Medical Sante Grand Nord","37 Rue Faidherbe","59370","Mons-en-Baroeul","France","FR10414194720","7/08/2017","22/08/2017","2969-Vincentelli","17,40","10,00","15","0,00",""
"172204","","1604","Littoral Medical - Reynaud  - Falcone","9 Rue des Platanes","34750","Villeneuve les Maguelone","France","FR31492283122","7/08/2017","22/08/2017","cde 01/08","125,10","20,00","15","0,00",""
"172205","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","7/08/2017","22/08/2017","7245208-Verhun","133,38","0,00","15","0,00",""
"172205","","3411","Prevenchute","1 Clos des vignes","60580","Coye La Foret","France","FR60514376854","7/08/2017","22/08/2017","7245208-Verhun","10,00","0,00","15","0,00",""
"172206","","1393","Thuiszorgwinkel Linter","Sint-Truidensesteenweg 5","3350","Linter","Belgium","BE0462158775","9/08/2017","24/08/2017","best 01/07-TZW Linter - Geens Victor","142,74","0,00","15","8,56",""
"172207","","2189","Thuiszorgwinkel hq Zorg en Farma","Ellermanstraat 74","2060","Antwerpen","Belgium","BE0400789251","9/08/2017","24/08/2017","best 28/06-TZW Sint Niklaas - LGISILVER-Nachtegael","142,74","0,00","15","8,56",""
"172208","","6093","HipSupport.nl - INGMI","Stationsplein 7","7811 GW","Emmen","Netherlands","NL102733235B04","9/08/2017","24/08/2017","ORD20160991-Althof","181,83","0,00","15","0,00",""
"172209","","0629","De Rijcker GO","Xavier de Cocklaan 82","9830","Sint-Martens-Latem","Belgium","BE0885672851","9/08/2017","24/08/2017","best 01/08","191,40","0,00","15","25,06",""
"172209","","0629","De Rijcker GO","Xavier de Cocklaan 82","9830","Sint-Martens-Latem","Belgium","BE0885672851","9/08/2017","24/08/2017","best 01/08","17,40","0,00","15","25,06",""
"172209","","0629","De Rijcker GO","Xavier de Cocklaan 82","9830","Sint-Martens-Latem","Belgium","BE0885672851","9/08/2017","24/08/2017","best 01/08","191,40","0,00","15","25,06",""
"172209","","0629","De Rijcker GO","Xavier de Cocklaan 82","9830","Sint-Martens-Latem","Belgium","BE0885672851","9/08/2017","24/08/2017","best 01/08","17,40","0,00","15","25,06",""
"172210","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524439","204,44","0,00","15","134,24",""
"172210","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524439","972,95","0,00","15","134,24",""
"172210","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524439","972,95","0,00","15","134,24",""
"172210","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524439","34,80","0,00","15","134,24",""
"172210","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524439","17,40","0,00","15","134,24",""
"172210","","0006","Tili - Escapo","Generaal De Wittelaan 4","2800","Mechelen","Belgium","BE0449707638","9/08/2017","24/08/2017","4500524439","34,80","0,00","15","134,24",""
"172211","","0070","Thuiszorgwinkel hq Brussel Halle Vilvoorde","Wilgenlaan 1","1861","Meise","Belgium","BE0410149454","9/08/2017","24/08/2017","best 01/08-TZW Meise","1167,54","0,00","15","122,21",""
"172211","","0070","Thuiszorgwinkel hq Brussel Halle Vilvoorde","Wilgenlaan 1","1861","Meise","Belgium","BE0410149454","9/08/2017","24/08/2017","best 01/08-TZW Meise","583,77","0,00","15","122,21",""
"172211","","0070","Thuiszorgwinkel hq Brussel Halle Vilvoorde","Wilgenlaan 1","1861","Meise","Belgium","BE0410149454","9/08/2017","24/08/2017","best 01/08-TZW Meise","285,48","0,00","15","122,21",""
"172212","","0011","Update orthopaedics ass nv","Biezeweg 13","9230","Wetteren","Belgium","BE0476874269","9/08/2017","24/08/2017","best 02/08","191,40","0,00","15","11,48",""
"172213","","7370","CDI Medical - Mouscron","Rue du Christ 18","7700","Mouscron","Belgium","BE0668534094","9/08/2017","8/09/2017","cde 03/08","191,40","0,00","30","11,48",""
