Actief;Id;Extern relatienummer;Naam;Voornaam;Contactpersoon;Straat en nummer;Postcode;Gemeente;Land;Klant;Boekingsrekening als klant;Leverancier;Boekingsrekening als leverancier;Venootschapsvorm;BTW-nummer;BTW plichtigheid;Bankrekeningnummer;BIC code;IBAN nummer;Munt;Vervaldagen;Vervaldatum type;Opmerkingen;Telefoon;Gsm;Fax;Email;Url;Zoekveld 1;Zoekveld 2;Taal;;;;;;;;;;
A;176;0;DONCKERS - WILRIJK;;;BOOMSESTEENWEG 609;2610;Wilrijk (Antwerpen);  ;NEE;;JA;611221;NP;BE0450.026.253;Belgische BTW-plichtige;;JVBABE22;BE55645107515744;EUR;30;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;285;0;DPD (BELGIUM) NV;;;E WALSCHAERTSTRAAT 20;2800;Walem;  ;NEE;;JA;;NP;BE0449.294.102;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;10;0;De Ketelaere;Berenie;;Wijzakstraat 4/6;8000;Brugge;BE;JA;700000;NEE;;NP;;Niet BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;55;0;De Maesschalck ;Philip;;Durmelaan 110;9160;Lokeren;BE;NEE;;JA;611210;BVBA;BE0442.716.710;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;318;0;De Novo Interactive;;;;;;  ;NEE;;JA;604000;;FR604507739131;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;320;0;De Paepe Roozie;;;Hillarestraat 20;9160;Lokeren;BE;NEE;;JA;;NP;BE0820.237.443;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;6;0;De Rijcker;lse;;Xavier De Cocklaan 82;9830;Sint-Martens-Latem;BE;JA;700000;NEE;;BVBA;BE0885.672.851;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;304;0;Debouver;Reinold;;;;;  ;JA;700000;NEE;;NP;;Particulier Belgie;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;82;0;Demolder Orthos ;;;Het Dorlik 12;3500;Hasselt;BE;JA;700000;NEE;;NV;BE0437.842.657;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;148;0;Denet Pierre;;;Rued de Lonzee 15;5030;Beuzet;BE;JA;700000;NEE;;NP;;Particulier Belgie;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;36;0;Deneweth B. BVBA;;;Bruggesteenweg 64B;8830;Gits;BE;JA;700000;NEE;;BVBA;BE0479.884.932;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;126;0;Derouck Mary;;;Ingendaellaan 61;1652;Alsemberg;BE;JA;700000;NEE;;NP;;Particulier Belgie;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;299;0;Dhont ;Michel;;;;;  ;JA;700000;NEE;;NP;;Particulier Belgie;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;43;0;Different Mobility;Ivan;;Weynesbaan 50;2820;Rijmenam;BE;JA;700000;NEE;;NP;BE0819.263.879;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;61;0;Displaywinkel;;;teteringsedijk 58;4817;MH breda;NL;NEE;;JA;612320;NP;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;113;0;Diverse leveranciers;;;;;;  ;NEE;;JA;;NP;;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;108;0;E-Shopinvest ;;;Izegemseaardeweg 144 B1;8800;Beveren (Roeselare);BE;NEE;;JA;614310;NV;BE0806.661.106;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;268;0;EDS ORTHOPEDIE;;;GROTE STEENWEG 117;2550;Kontich;BE;JA;700000;NEE;;NP;BE0459.578.674;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;145;0;EUROPROTHESE;;;BD DE SMET NAEYER 212;1090;Jette;  ;JA;700000;NEE;;NP;BE0820.737.091;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;201;0;Energie Medical -  SAS GROUPE GAILLARD;;;"ZA DU VERDALAI,LOT LE VERDALAI";13790;;FR;JA;700100;NEE;;;FR09303616304;Intracommunautaire BTW-plichtige;;;;EUR;30;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;73;0;Ergo Home Consult;;;Rue du pont Neuf 2;6238;Luttre;BE;JA;700000;NEE;;NP;BE0785.214.208;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;209;0;Ergovie;;;1 Rue de la Sauvaie CS 46332;35063;Rennes;FR;JA;700100;NEE;;;FR07349524819;Intracommunautaire BTW-plichtige;;;;EUR;30;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;231;0;Escapo;;;ANTWERPSESTEENWEG 263;2800;Walem;  ;NEE;;JA;604000;CVBA;BE0449.707.638;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;229;0;Extensoft;;;;;;  ;NEE;;JA;;Inc.;;Niet BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;303;0;Eyeworks;;;FABRIEKSSTRAAT 43;1930;Nossegem;  ;JA;700000;NEE;;NP;BE0863.293.961;Belgische BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;264;0;FAVERGES MEDICAL;;;"23 RUE DU TABELLION,74210 FAVERGES ";;;  ;JA;700100;NEE;;NP;FR52503984239;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;156;0;FILIBERKEN;;;HEIKANT 176;9240;Zele;  ;NEE;;JA;611211;NP;BE0887.469.628;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;249;0;FLEURUS MEDICAL hq;;;AVENUE DU MARQUIS(FL) SN;6220;Fleurus;  ;JA;700000;NEE;;NP;BE0440.592.608;Belgische BTW-plichtige;;;;EUR;14;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;293;0;FUSEO VERTOMMEN KEVIN;;;WELVAARTSTRAAT 62;2590;Berlaar;  ;NEE;;JA;;NP;BE0500.516.040;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;65;0;Facebook Ireland Ltd;;;Hannover Reach 5-7;;;IE;NEE;;JA;614000;NP;IE9692928;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;218;0;Favete Entreprenad AB;;;Heliosgatan 43;BV12063;Stockholm;SE;JA;700000;NEE;;;SE556809567201;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;17;0;Fellow - Roll ;;;Oostergracht 44;3763;LZ Soest;NL;NEE;;JA;604000;BV;NL814672036B01;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;169;0;Flandre Medical;;;1 Place Saint Piat;59113;Seclin;FR;JA;700100;NEE;;NP;FR77411673874;Intracommunautaire BTW-plichtige;;;;EUR;15;na factuur datum;;;;;;;;;1;;;;;;;;;;
A;326;0;Flyer;;;DORPSSTRAAT 175;8340;Damme;  ;NEE;;JA;614000;BVBA;BE0888.393.405;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;280;0;Forta;;;Poligono Industrial Campollano Calle C;02007;Albacete;BE;JA;;JA;604000;NP;ESB02237725;Intracommunautaire BTW-plichtige;;;;EUR;60;na factuur datum;;;;;;;;;2;;;;;;;;;;
A;50;0;Fremineur - Medical;;;Sint-Jansplein 10;1000;Brussel;BE;JA;700000;NEE;;VZW;BE0401.953.845;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;125;0;GMedi;;;Rue de pepinster 55;4800;Verviers;BE;JA;700000;JA;;NP;BE0402.307.894;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;151;0;GZA;;;SINT-AUGUSTINUSLAAN 20;2610;Wilrijk (Antwerpen);  ;JA;700000;NEE;;NP;BE0428.651.017;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;181;0;Gamma;;;NOORDERLAAN 99A;2030;Antwerpen;  ;NEE;;JA;;NP;BE0453.374.337;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;232;0;Garage De Vos;;;BRANDSTRAAT 19;9160;Daknam;  ;NEE;;JA;;BVBA;BE0426.762.287;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;174;0;Gondrand;;;Van Kerckhovenstraat 117;2880;Bornem;BE;NEE;;JA;613300;NP;BE0403.361.830;Belgische BTW-plichtige;;GKCCBEBB;BE67550271590087;EUR;30;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;33;0;Google Ireland;;;Barrow street;4;Dublin;IE;NEE;;JA;614000;Ltd;IE6388047V;Intracommunautaire BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;24;0;Guthorel;;;Schoolstraat 58-60;9160;Lokeren;BE;NEE;;JA;612320;NP;BE0721.140.560;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;93;0;H. Hart Ziekenhuis Roeselare;;;Wilgenstraat 2;8800;Beveren (Roeselare);BE;JA;700000;NEE;;VZW;BE0409.779.072;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
A;233;0;HK Waasland;;;GUIDO GEZELLESTRAAT 4;9250;Waasmunster;  ;NEE;;JA;614000;VZW;BE0434.322.250;Belgische BTW-plichtige;;;;EUR;0;na factuur datum;;;;;;;;;0;;;;;;;;;;
